;query;result
687;остановить стереоустановка;Стереосистема, Выключить
688;музыкальная система выключать;Стереосистема, Выключить
689;аудиосистема потушить;Стереосистема, Выключить
690;стереоустановка остановить;Стереосистема, Выключить
691;выключать стереоцентр;Стереосистема, Выключить
692;музыкальный центр погасить;Стереосистема, Выключить
693;прибить стереоцентр;Стереосистема, Выключить
694;музыкальный центр потушить;Стереосистема, Выключить
695;аудиоцентр угасить;Стереосистема, Выключить
696;погасить стереоустановка;Стереосистема, Выключить
697;отключить музыкальная система;Стереосистема, Выключить
698;отключить звуковой центр;Стереосистема, Выключить
699;звуковой центр погасить;Стереосистема, Выключить
700;звуковой центр угасить;Стереосистема, Выключить
701;аудиоцентр погасить;Стереосистема, Выключить
702;музыкальный центр перекрыть;Стереосистема, Выключить
703;потушить музыкальная система;Стереосистема, Выключить
704;отключить звуковая система;Стереосистема, Выключить
705;звуковая система погасить;Стереосистема, Выключить
706;стереоцентр отключить;Стереосистема, Выключить
707;выключать звуковой центр;Стереосистема, Выключить
708;угасить музыкальный центр;Стереосистема, Выключить
709;звуковая система потушить;Стереосистема, Выключить
710;музыкальная система потушить;Стереосистема, Выключить
711;аудиосистема погасить;Стереосистема, Выключить
712;звуковая система прибить;Стереосистема, Выключить
713;музыкальная система угасить;Стереосистема, Выключить
714;аудиоцентр выключать;Стереосистема, Выключить
715;аудиосистема остановить;Стереосистема, Выключить
716;перекрыть звуковая система;Стереосистема, Выключить
717;затушить звуковой центр;Стереосистема, Выключить
718;стереоустановка перекрыть;Стереосистема, Выключить
719;музыкальная система погасить;Стереосистема, Выключить
720;погасить музыкальная система;Стереосистема, Выключить
721;прибить аудиоцентр;Стереосистема, Выключить
722;затушить стереоустановка;Стереосистема, Выключить
723;звуковая система затушить;Стереосистема, Выключить
724;звуковая система выключать;Стереосистема, Выключить
725;аудиоцентр остановить;Стереосистема, Выключить
726;остановить музыкальная система;Стереосистема, Выключить
727;аудиосистема затушить;Стереосистема, Выключить
728;затушить звуковая система;Стереосистема, Выключить
729;музыкальная система остановить;Стереосистема, Выключить
730;погасить музыкальный центр;Стереосистема, Выключить
731;стереоустановка отключить;Стереосистема, Выключить
732;отключить аудиоцентр;Стереосистема, Выключить
733;остановить звуковой центр;Стереосистема, Выключить
734;звуковая система угасить;Стереосистема, Выключить
735;музыкальный центр остановить;Стереосистема, Выключить
736;остановить аудиосистема;Стереосистема, Выключить
737;музыкальная система затушить;Стереосистема, Выключить
738;выключать звуковая система;Стереосистема, Выключить
739;стереоустановка прибить;Стереосистема, Выключить
740;добавить музыкальный центр;Стереосистема, Увеличить
741;звуковой центр повысить;Стереосистема, Увеличить
742;усилить звуковой центр;Стереосистема, Увеличить
743;стереоустановка нарастить;Стереосистема, Увеличить
744;усилить стереоцентр;Стереосистема, Увеличить
745;добавить стереоустановка;Стереосистема, Увеличить
746;музыкальный центр повысить;Стереосистема, Увеличить
747;звуковая система добавить;Стереосистема, Увеличить
748;повысить аудиосистема;Стереосистема, Увеличить
749;музыкальная система повысить;Стереосистема, Увеличить
750;усилить аудиосистема;Стереосистема, Увеличить
751;повысить звуковая система;Стереосистема, Увеличить
752;нарастить музыкальный центр;Стереосистема, Увеличить
753;нарастить аудиоцентр;Стереосистема, Увеличить
754;нарастить стереоустановка;Стереосистема, Увеличить
755;усилить звуковая система;Стереосистема, Увеличить
756;звуковой центр добавить;Стереосистема, Увеличить
757;аудиосистема повысить;Стереосистема, Увеличить
758;повысить аудиоцентр;Стереосистема, Увеличить
759;добавить звуковой центр;Стереосистема, Увеличить
760;стереоустановка повысить;Стереосистема, Увеличить
761;музыкальная система нарастить;Стереосистема, Увеличить
762;стереоцентр добавить;Стереосистема, Увеличить
763;звуковая система повысить;Стереосистема, Увеличить
764;стереоустановка усилить;Стереосистема, Увеличить
765;добавить музыкальная система;Стереосистема, Увеличить
766;усилить стереоустановка;Стереосистема, Увеличить
767;аудиосистема добавить;Стереосистема, Увеличить
768;добавить стереоцентр;Стереосистема, Увеличить
769;звуковая система нарастить;Стереосистема, Увеличить
770;повысить музыкальный центр;Стереосистема, Увеличить
771;нарастить звуковая система;Стереосистема, Увеличить
772;музыкальная система усилить;Стереосистема, Увеличить
773;добавить аудиоцентр;Стереосистема, Увеличить
774;музыкальный центр нарастить;Стереосистема, Увеличить
775;звуковой центр усилить;Стереосистема, Увеличить
776;звуковая система усилить;Стереосистема, Увеличить
777;аудиоцентр повысить;Стереосистема, Увеличить
778;нарастить музыкальная система;Стереосистема, Увеличить
779;аудиоцентр нарастить;Стереосистема, Увеличить
780;добавить аудиосистема;Стереосистема, Увеличить
781;усилить музыкальный центр;Стереосистема, Увеличить
782;повысить стереоустановка;Стереосистема, Увеличить
783;нарастить стереоцентр;Стереосистема, Увеличить
784;аудиосистема усилить;Стереосистема, Увеличить
785;аудиоцентр добавить;Стереосистема, Увеличить
786;музыкальный центр добавить;Стереосистема, Увеличить
787;нарастить аудиосистема;Стереосистема, Увеличить
788;добавить звуковая система;Стереосистема, Увеличить
789;нарастить звуковой центр;Стереосистема, Увеличить
790;стереоцентр усилить;Стереосистема, Увеличить
791;повысить звуковой центр;Стереосистема, Увеличить
792;музыкальный центр усилить;Стереосистема, Увеличить
793;усилить аудиоцентр;Стереосистема, Увеличить
794;аудиосистема нарастить;Стереосистема, Увеличить
795;аудиоцентр усилить;Стереосистема, Увеличить
796;стереоцентр нарастить;Стереосистема, Увеличить
797;повысить стереоцентр;Стереосистема, Увеличить
798;стереоустановка добавить;Стереосистема, Увеличить
799;музыкальная система добавить;Стереосистема, Увеличить
800;стереоцентр повысить;Стереосистема, Увеличить
801;звуковой центр нарастить;Стереосистема, Увеличить
802;повысить музыкальная система;Стереосистема, Увеличить
803;усилить музыкальная система;Стереосистема, Увеличить
804;снизить аудиосистема;Стереосистема, Уменьшить
805;приглушить аудиосистема;Стереосистема, Уменьшить
806;стереоустановка приглушить;Стереосистема, Уменьшить
807;приглушить стереоустановка;Стереосистема, Уменьшить
808;снизить музыкальный центр;Стереосистема, Уменьшить
809;уменьшить звуковой центр;Стереосистема, Уменьшить
810;ослабить музыкальная система;Стереосистема, Уменьшить
811;понизить музыкальная система;Стереосистема, Уменьшить
812;понизить музыкальный центр;Стереосистема, Уменьшить
813;звуковой центр понизить;Стереосистема, Уменьшить
814;уменьшить аудиосистема;Стереосистема, Уменьшить
815;стереоустановка уменьшить;Стереосистема, Уменьшить
816;уменьшить музыкальный центр;Стереосистема, Уменьшить
817;звуковой центр снизить;Стереосистема, Уменьшить
818;звуковая система понизить;Стереосистема, Уменьшить
819;приглушить аудиоцентр;Стереосистема, Уменьшить
820;ослабить стереоустановка;Стереосистема, Уменьшить
821;аудиосистема понизить;Стереосистема, Уменьшить
822;аудиоцентр приглушить;Стереосистема, Уменьшить
823;аудиоцентр уменьшить;Стереосистема, Уменьшить
824;аудиоцентр понизить;Стереосистема, Уменьшить
825;звуковой центр уменьшить;Стереосистема, Уменьшить
826;звуковой центр ослабить;Стереосистема, Уменьшить
827;ослабить звуковой центр;Стереосистема, Уменьшить
828;музыкальная система приглушить;Стереосистема, Уменьшить
829;понизить аудиоцентр;Стереосистема, Уменьшить
830;музыкальный центр приглушить;Стереосистема, Уменьшить
831;приглушить звуковой центр;Стереосистема, Уменьшить
832;музыкальная система уменьшить;Стереосистема, Уменьшить
833;аудиосистема ослабить;Стереосистема, Уменьшить
834;музыкальный центр понизить;Стереосистема, Уменьшить
835;приглушить музыкальная система;Стереосистема, Уменьшить
836;уменьшить стереоустановка;Стереосистема, Уменьшить
837;ослабить аудиосистема;Стереосистема, Уменьшить
838;уменьшить стереоцентр;Стереосистема, Уменьшить
839;аудиоцентр снизить;Стереосистема, Уменьшить
840;аудиосистема снизить;Стереосистема, Уменьшить
841;звуковая система приглушить;Стереосистема, Уменьшить
842;музыкальная система ослабить;Стереосистема, Уменьшить
843;звуковая система снизить;Стереосистема, Уменьшить
844;музыкальный центр уменьшить;Стереосистема, Уменьшить
845;стереоустановка понизить;Стереосистема, Уменьшить
846;музыкальный центр снизить;Стереосистема, Уменьшить
847;уменьшить аудиоцентр;Стереосистема, Уменьшить
848;ослабить музыкальный центр;Стереосистема, Уменьшить
849;аудиосистема уменьшить;Стереосистема, Уменьшить
850;стереоустановка ослабить;Стереосистема, Уменьшить
851;понизить аудиосистема;Стереосистема, Уменьшить
852;ослабить стереоцентр;Стереосистема, Уменьшить
853;уменьшить звуковая система;Стереосистема, Уменьшить
854;звуковая система ослабить;Стереосистема, Уменьшить
855;понизить стереоустановка;Стереосистема, Уменьшить
856;снизить стереоцентр;Стереосистема, Уменьшить
857;снизить стереоустановка;Стереосистема, Уменьшить
858;ослабить звуковая система;Стереосистема, Уменьшить
859;звуковой центр приглушить;Стереосистема, Уменьшить
860;аудиоцентр ослабить;Стереосистема, Уменьшить
861;стереоцентр снизить;Стереосистема, Уменьшить
862;музыкальная система понизить;Стереосистема, Уменьшить
863;понизить стереоцентр;Стереосистема, Уменьшить
864;стереоустановка снизить;Стереосистема, Уменьшить
865;приглушить музыкальный центр;Стереосистема, Уменьшить
866;снизить музыкальная система;Стереосистема, Уменьшить
867;аудиосистема приглушить;Стереосистема, Уменьшить
868;уменьшить музыкальная система;Стереосистема, Уменьшить
869;стереоцентр уменьшить;Стереосистема, Уменьшить
870;музыкальный центр ослабить;Стереосистема, Уменьшить
871;стереоцентр ослабить;Стереосистема, Уменьшить
872;музыкальная система снизить;Стереосистема, Уменьшить
873;понизить звуковой центр;Стереосистема, Уменьшить
874;стереоцентр понизить;Стереосистема, Уменьшить
875;понизить звуковая система;Стереосистема, Уменьшить
876;звуковая система уменьшить;Стереосистема, Уменьшить
877;снизить аудиоцентр;Стереосистема, Уменьшить
878;приглушить стереоцентр;Стереосистема, Уменьшить
879;стереоцентр приглушить;Стереосистема, Уменьшить
880;приглушить звуковая система;Стереосистема, Уменьшить
881;снизить звуковой центр;Стереосистема, Уменьшить
882;ослабить аудиоцентр;Стереосистема, Уменьшить
883;снизить звуковая система;Стереосистема, Уменьшить
884;застопорить стереоцентр;Стереосистема, Поставить на паузу
885;приостановить звуковой центр;Стереосистема, Поставить на паузу
886;задержать стереоцентр;Стереосистема, Поставить на паузу
887;прервать звуковая система;Стереосистема, Поставить на паузу
888;звуковой центр остановить;Стереосистема, Поставить на паузу
889;поставить на стоп музыкальная система;Стереосистема, Поставить на паузу
890;музыкальная система поставить на стоп;Стереосистема, Поставить на паузу
891;музыкальный центр приостановить;Стереосистема, Поставить на паузу
892;сделать паузу аудиоцентр;Стереосистема, Поставить на паузу
893;аудиоцентр задержать;Стереосистема, Поставить на паузу
894;застопорить музыкальная система;Стереосистема, Поставить на паузу
895;аудиосистема сделать паузу;Стереосистема, Поставить на паузу
896;остановить стереоцентр;Стереосистема, Поставить на паузу
897;прервать звуковой центр;Стереосистема, Поставить на паузу
898;сделать паузу звуковой центр;Стереосистема, Поставить на паузу
899;застопорить аудиоцентр;Стереосистема, Поставить на паузу
900;стереоцентр приостановить;Стереосистема, Поставить на паузу
901;поставить на стоп стереоцентр;Стереосистема, Поставить на паузу
902;прервать аудиосистема;Стереосистема, Поставить на паузу
903;стереоцентр застопорить;Стереосистема, Поставить на паузу
904;звуковой центр приостановить;Стереосистема, Поставить на паузу
905;остановить аудиоцентр;Стереосистема, Поставить на паузу
906;пауза звуковая система;Стереосистема, Поставить на паузу
907;звуковая система пауза;Стереосистема, Поставить на паузу
908;задержать звуковой центр;Стереосистема, Поставить на паузу
909;сделать паузу музыкальная система;Стереосистема, Поставить на паузу
910;аудиоцентр поставить на стоп;Стереосистема, Поставить на паузу
911;застопорить звуковая система;Стереосистема, Поставить на паузу
912;задержать стереоустановка;Стереосистема, Поставить на паузу
913;остановить музыкальный центр;Стереосистема, Поставить на паузу
914;приостановить стереоцентр;Стереосистема, Поставить на паузу
915;стереоустановка задержать;Стереосистема, Поставить на паузу
916;стереоустановка приостановить;Стереосистема, Поставить на паузу
917;аудиоцентр прервать;Стереосистема, Поставить на паузу
918;музыкальная система приостановить;Стереосистема, Поставить на паузу
919;стереоцентр поставить на стоп;Стереосистема, Поставить на паузу
920;поставить на стоп музыкальный центр;Стереосистема, Поставить на паузу
921;пауза аудиосистема;Стереосистема, Поставить на паузу
922;пауза стереоцентр;Стереосистема, Поставить на паузу
923;стереоустановка сделать паузу;Стереосистема, Поставить на паузу
924;поставить на стоп звуковой центр;Стереосистема, Поставить на паузу
925;поставить на стоп звуковая система;Стереосистема, Поставить на паузу
926;музыкальная система застопорить;Стереосистема, Поставить на паузу
927;музыкальная система пауза;Стереосистема, Поставить на паузу
928;прервать музыкальная система;Стереосистема, Поставить на паузу
929;задержать музыкальный центр;Стереосистема, Поставить на паузу
930;сделать паузу аудиосистема;Стереосистема, Поставить на паузу
931;прервать аудиоцентр;Стереосистема, Поставить на паузу
932;стереоцентр пауза;Стереосистема, Поставить на паузу
933;звуковой центр прервать;Стереосистема, Поставить на паузу
934;стереоцентр остановить;Стереосистема, Поставить на паузу
935;пауза аудиоцентр;Стереосистема, Поставить на паузу
936;задержать аудиоцентр;Стереосистема, Поставить на паузу
937;музыкальная система задержать;Стереосистема, Поставить на паузу
938;музыкальный центр прервать;Стереосистема, Поставить на паузу
939;аудиоцентр приостановить;Стереосистема, Поставить на паузу
940;музыкальный центр сделать паузу;Стереосистема, Поставить на паузу
941;стереоустановка пауза;Стереосистема, Поставить на паузу
942;остановить звуковая система;Стереосистема, Поставить на паузу
943;звуковая система поставить на стоп;Стереосистема, Поставить на паузу
944;стереоцентр прервать;Стереосистема, Поставить на паузу
945;звуковой центр поставить на стоп;Стереосистема, Поставить на паузу
946;стереоцентр сделать паузу;Стереосистема, Поставить на паузу
947;задержать звуковая система;Стереосистема, Поставить на паузу
948;стереоустановка поставить на стоп;Стереосистема, Поставить на паузу
949;сделать паузу стереоустановка;Стереосистема, Поставить на паузу
950;задержать музыкальная система;Стереосистема, Поставить на паузу
951;аудиосистема прервать;Стереосистема, Поставить на паузу
952;приостановить музыкальный центр;Стереосистема, Поставить на паузу
953;приостановить звуковая система;Стереосистема, Поставить на паузу
954;пауза музыкальная система;Стереосистема, Поставить на паузу
955;прервать стереоустановка;Стереосистема, Поставить на паузу
956;звуковая система застопорить;Стереосистема, Поставить на паузу
957;застопорить звуковой центр;Стереосистема, Поставить на паузу
958;звуковая система сделать паузу;Стереосистема, Поставить на паузу
959;приостановить стереоустановка;Стереосистема, Поставить на паузу
960;звуковой центр задержать;Стереосистема, Поставить на паузу
961;музыкальная система прервать;Стереосистема, Поставить на паузу
962;поставить на стоп аудиосистема;Стереосистема, Поставить на паузу
963;аудиосистема застопорить;Стереосистема, Поставить на паузу
964;музыкальный центр пауза;Стереосистема, Поставить на паузу
965;звуковая система остановить;Стереосистема, Поставить на паузу
966;звуковая система задержать;Стереосистема, Поставить на паузу
967;задержать аудиосистема;Стереосистема, Поставить на паузу
968;остановить стереоустановка;Стереосистема, Поставить на паузу
969;застопорить стереоустановка;Стереосистема, Поставить на паузу
970;застопорить музыкальный центр;Стереосистема, Поставить на паузу
971;сделать паузу стереоцентр;Стереосистема, Поставить на паузу
972;стереоустановка остановить;Стереосистема, Поставить на паузу
973;прервать музыкальный центр;Стереосистема, Поставить на паузу
974;аудиосистема задержать;Стереосистема, Поставить на паузу
975;стереоустановка прервать;Стереосистема, Поставить на паузу
976;сделать паузу звуковая система;Стереосистема, Поставить на паузу
977;звуковая система приостановить;Стереосистема, Поставить на паузу
978;звуковой центр сделать паузу;Стереосистема, Поставить на паузу
979;стереоцентр задержать;Стереосистема, Поставить на паузу
980;поставить на стоп аудиоцентр;Стереосистема, Поставить на паузу
981;поставить на стоп стереоустановка;Стереосистема, Поставить на паузу
982;аудиосистема пауза;Стереосистема, Поставить на паузу
983;аудиосистема поставить на стоп;Стереосистема, Поставить на паузу
984;стереоустановка застопорить;Стереосистема, Поставить на паузу
985;аудиоцентр застопорить;Стереосистема, Поставить на паузу
986;музыкальный центр поставить на стоп;Стереосистема, Поставить на паузу
987;приостановить аудиоцентр;Стереосистема, Поставить на паузу
988;аудиосистема остановить;Стереосистема, Поставить на паузу
989;сделать паузу музыкальный центр;Стереосистема, Поставить на паузу
990;музыкальный центр задержать;Стереосистема, Поставить на паузу
991;музыкальная система сделать паузу;Стереосистема, Поставить на паузу
992;пауза музыкальный центр;Стереосистема, Поставить на паузу
993;пауза звуковой центр;Стереосистема, Поставить на паузу
994;пауза стереоустановка;Стереосистема, Поставить на паузу
995;прервать стереоцентр;Стереосистема, Поставить на паузу
996;аудиоцентр остановить;Стереосистема, Поставить на паузу
997;приостановить музыкальная система;Стереосистема, Поставить на паузу
998;звуковая система прервать;Стереосистема, Поставить на паузу
999;остановить музыкальная система;Стереосистема, Поставить на паузу
1000;музыкальный центр застопорить;Стереосистема, Поставить на паузу
1001;музыкальная система остановить;Стереосистема, Поставить на паузу
1002;приостановить аудиосистема;Стереосистема, Поставить на паузу
1003;остановить звуковой центр;Стереосистема, Поставить на паузу
1004;остановить аудиосистема;Стереосистема, Поставить на паузу
1005;музыкальный центр остановить;Стереосистема, Поставить на паузу
1006;аудиоцентр сделать паузу;Стереосистема, Поставить на паузу
1007;звуковой центр застопорить;Стереосистема, Поставить на паузу
1008;звуковой центр пауза;Стереосистема, Поставить на паузу
1009;аудиоцентр пауза;Стереосистема, Поставить на паузу
1010;аудиосистема приостановить;Стереосистема, Поставить на паузу
1011;застопорить аудиосистема;Стереосистема, Поставить на паузу
1012;аудиосистема продолжить воспроизведение;Стереосистема, Возобновить воспроизведение
1013;восстановить воспроизведение аудиосистема;Стереосистема, Возобновить воспроизведение
1014;восстановить воспроизведение стереоцентр;Стереосистема, Возобновить воспроизведение
1015;снова начать воспроизведение звуковой центр;Стереосистема, Возобновить воспроизведение
1016;аудиоцентр снова начать воспроизведение;Стереосистема, Возобновить воспроизведение
1017;продолжить воспроизведение аудиосистема;Стереосистема, Возобновить воспроизведение
1018;стереоустановка восстановить воспроизведение;Стереосистема, Возобновить воспроизведение
1019;возобновить проигрывание звуковой центр;Стереосистема, Возобновить воспроизведение
1020;музыкальная система возобновить проигрывание;Стереосистема, Возобновить воспроизведение
1021;аудиосистема снова начать воспроизведение;Стереосистема, Возобновить воспроизведение
1022;звуковой центр продолжить воспроизведение;Стереосистема, Возобновить воспроизведение
1023;перезапустить воспроизведение аудиоцентр;Стереосистема, Возобновить воспроизведение
1024;звуковая система перезапустить воспроизведение;Стереосистема, Возобновить воспроизведение
1025;аудиоцентр продолжить воспроизведение;Стереосистема, Возобновить воспроизведение
1026;музыкальная система перезапустить воспроизведение;Стереосистема, Возобновить воспроизведение
1027;музыкальный центр перезапустить воспроизведение;Стереосистема, Возобновить воспроизведение
1028;звуковой центр возобновить проигрывание;Стереосистема, Возобновить воспроизведение
1029;снова воспроизвести музыкальный центр;Стереосистема, Возобновить воспроизведение
1030;музыкальная система снова начать воспроизведение;Стереосистема, Возобновить воспроизведение
1031;аудиоцентр возобновить проигрывание;Стереосистема, Возобновить воспроизведение
1032;стереоцентр возобновить проигрывание;Стереосистема, Возобновить воспроизведение
1033;возобновить проигрывание аудиоцентр;Стереосистема, Возобновить воспроизведение
1034;продолжить воспроизведение звуковая система;Стереосистема, Возобновить воспроизведение
1035;стереоцентр снова воспроизвести;Стереосистема, Возобновить воспроизведение
1036;восстановить воспроизведение музыкальный центр;Стереосистема, Возобновить воспроизведение
1037;стереоцентр перезапустить воспроизведение;Стереосистема, Возобновить воспроизведение
1038;перезапустить воспроизведение звуковой центр;Стереосистема, Возобновить воспроизведение
1039;аудиоцентр восстановить воспроизведение;Стереосистема, Возобновить воспроизведение
1040;снова начать воспроизведение аудиосистема;Стереосистема, Возобновить воспроизведение
1041;продолжить воспроизведение стереоустановка;Стереосистема, Возобновить воспроизведение
1042;возобновить проигрывание звуковая система;Стереосистема, Возобновить воспроизведение
1043;звуковая система продолжить воспроизведение;Стереосистема, Возобновить воспроизведение
1044;музыкальный центр восстановить воспроизведение;Стереосистема, Возобновить воспроизведение
1045;стереоцентр восстановить воспроизведение;Стереосистема, Возобновить воспроизведение
1046;продолжить воспроизведение аудиоцентр;Стереосистема, Возобновить воспроизведение
1047;восстановить воспроизведение звуковая система;Стереосистема, Возобновить воспроизведение
1048;восстановить воспроизведение стереоустановка;Стереосистема, Возобновить воспроизведение
1049;музыкальная система продолжить воспроизведение;Стереосистема, Возобновить воспроизведение
1050;снова воспроизвести аудиосистема;Стереосистема, Возобновить воспроизведение
1051;перезапустить воспроизведение звуковая система;Стереосистема, Возобновить воспроизведение
1052;стереоустановка снова начать воспроизведение;Стереосистема, Возобновить воспроизведение
1053;звуковая система снова начать воспроизведение;Стереосистема, Возобновить воспроизведение
1054;стереоцентр снова начать воспроизведение;Стереосистема, Возобновить воспроизведение
1055;музыкальная система снова воспроизвести;Стереосистема, Возобновить воспроизведение
1056;звуковой центр снова воспроизвести;Стереосистема, Возобновить воспроизведение
1057;стереоустановка снова воспроизвести;Стереосистема, Возобновить воспроизведение
1058;аудиосистема восстановить воспроизведение;Стереосистема, Возобновить воспроизведение
1059;возобновить проигрывание аудиосистема;Стереосистема, Возобновить воспроизведение
1060;восстановить воспроизведение аудиоцентр;Стереосистема, Возобновить воспроизведение
1061;звуковая система снова воспроизвести;Стереосистема, Возобновить воспроизведение
1062;звуковая система возобновить проигрывание;Стереосистема, Возобновить воспроизведение
1063;снова воспроизвести стереоцентр;Стереосистема, Возобновить воспроизведение
1064;снова воспроизвести звуковая система;Стереосистема, Возобновить воспроизведение
1065;продолжить воспроизведение звуковой центр;Стереосистема, Возобновить воспроизведение
1066;стереоустановка возобновить проигрывание;Стереосистема, Возобновить воспроизведение
1067;перезапустить воспроизведение стереоустановка;Стереосистема, Возобновить воспроизведение
1068;перезапустить воспроизведение музыкальный центр;Стереосистема, Возобновить воспроизведение
1069;снова начать воспроизведение аудиоцентр;Стереосистема, Возобновить воспроизведение
1070;музыкальный центр снова начать воспроизведение;Стереосистема, Возобновить воспроизведение
1071;аудиоцентр снова воспроизвести;Стереосистема, Возобновить воспроизведение
1072;возобновить проигрывание музыкальная система;Стереосистема, Возобновить воспроизведение
1073;звуковой центр перезапустить воспроизведение;Стереосистема, Возобновить воспроизведение
1074;возобновить проигрывание стереоустановка;Стереосистема, Возобновить воспроизведение
1075;музыкальная система восстановить воспроизведение;Стереосистема, Возобновить воспроизведение
